date_old;day_of_week;date_new;longitude;latitude;weather;wind;entry
;;00.00 08.09.1805 - 12.00 08.09.1805;;;;;" At 1 O’clock, in consequence of my note to them, they came on board in company with Mr: Jas: Perkins[,] Purser of the Discovery Bomb.At 4 A.M. got under weigh[t]. At 8 the South Foreland light bore N.E. distance about 7 Miles."
9.Sepr.1805;Monday;12.00 08.09.1805 - 23.59 08.09.1805;;;;;" At Noon the Fairlee bore N.W[.] by N. distance 4 Leagues. Several Vessels in sight during the whole of the day. The sick Man still the same."
;;00.00 09.09.1805 - 12.00 09.09.1805;;;;;""
10.Sepr.1805;Tuesday;12.00 09.09.1805 - 23.59 09.09.1805;;;Strong Breezes and cloudy weather.;Winds N[.] by W. & W.N.W. ;" During the whole of the day making different Tacks, beating down Channel. At 6 P.M. the Fairlee bore N.W. distant about 5 Leagues. The sick Man no better."
;;00.00 10.09.1805 - 12.00 10.09.1805;;;;;""
11.Sepr.1805;Wednesday;12.00 10.09.1805 - 23.59 10.09.1805;;;These 24 Hours fresh Breezes and Cloudy weather. ;Winds W[.] by N. & W.N.W.;"Still employed beating down Channel. At 8 P.M. Beachy Head bore N[.] by W. distant about 4 Leagues.  several sail sight."
;;00.00 11.09.1805 - 12.00 11.09.1805;;;;;"At 8 A.M. close in with Seaford, Beachy Head bearing E[.] by N. about 4 Leagues."
12.Sepr.1805;Thursday;12.00 11.09.1805 - 23.59 11.09.1805;;;Light Breezes and Cloudy weather.;light Winds from West to W[.]  by N;"Beating down Channel with light Winds from West to W[.] by N. At Noon Dunnose Point bore N[.] by W. Several strange Vessels in sight. The sick Man still very ill."
;;00.00 12.09.1805 - 12.00 12.09.1805;;;;;""
13.Sepr.1805;Friday;12.00 12.09.1805 - 23.59 12.09.1805;;;Steady Breezes and thick hazy weather.;Wind from W.N.W. to N. by W. ;" Beating down Channel with the Wind from W.N.W. to N. by W. The Isle of Wight bearing N.N.W."
;;00.00 13.09.1805 - 12.00 13.09.1805;;;;;""
14.Sepr.1805;Saturday;12.00 13.09.1805 - 23.59 13.09.1805;;;;These 24 Hours fresh Breezes from the Westward;". At 4 P.M. Dunnose bore North. The continuance of the contrary Winds, and the consumption of our water, made it prudent to bear up for St. Helen[’]s and fill our water Casks"
;;00.00 14.09.1805 - 12.00 14.09.1805;;;;;""
15.Sepr.1805;Sunday;12.00 14.09.1805 - 23.59 14.09.1805;;;This day fine weather;Winds light and variable.;" Captn. Coit hired a Man and his Boat to fill his water Casks at Portsmouth, in which boat Captn. Coit and myself went to Portsmouth"
;;00.00 15.09.1805 - 12.00 15.09.1805;;;Light winds and hazy weather.;;"At 10 A.M. got under weigh in company with Lord Nelson in H.M.S. Victory, Euryaulus and a Gun Brig."
16.Sepr.1805;Monday;12.00 15.09.1805 - 23.59 15.09.1805;;;;Winds variable.;"  At 7 P.M. the Needles bore N by E. Distant 5 Leagues. At Noon the Bill of Portland bore N.E. by N. distant about 6 Leagues.  During this day a very disagreable altercation took place, between Mr. Martin, Captn. Coit and myself against Mr. Coultery, on account of his behaviour, which appeared to us indecourous and unbecoming. The sick Man considered to be dangerously ill. "
;;00.00 16.09.1805 - 12.00 16.09.1805;;;These 24 Hours began with steady Breezes from W.S.W., and clear weather.;steady Breezes from W.S.W.;"The Vessel on different Tacks during the course of the day. Several sail of different descriptions in sight throughout the Morning."
17.Sepr.1805;Tuesday;12.00 16.09.1805 - 23.59 16.09.1805;;;;;"At Noon Darthmouth Harbour bore N[.] by E. distant 7 Miles, and the start point W.S.W. The sick Man from the renovation of air, and being properly cleansed, apparently much better and great hopes entertained of his recovery."
;;00.00 17.09.1805 - 12.00 17.09.1805;;;;;""
18..Sepr.1805;Wednesday;12.00 17.09.1805 - 23.59 17.09.1805;;;Light winds and clear weather;;""
;;00.00 18.09.1805 - 12.00 18.09.1805;;;;;""
19.Sepr.1805;Thursday;12.00 18.09.1805 - 23.59 18.09.1805;;49.3 [at 8 P.M.];Fresh Breezes and cloudy weather.;Winds S[.] by W.;" At 6 P.M. wore ship and stood to the Southd:. At 8 strong Gales and heavy Sea, took in sail. found the bees gone from the Bowsprit, and got tackles on the stays to support the Fore Top Mast. The latter part more moderate.  Saw a sail. The sick Man very ill."
;;00.00 19.09.1805 - 12.00 19.09.1805;;;These 24 Hours began with strong Breezes and Cloudy weather.;;""
21st Sepr.1805;Saturday;12.00 20.09.1805 - 23.59 20.09.1805;;48.58;squally with rain. At midnight it blew tremendous hard, with a very heavy Sea running;;" At 8 P.M. squally with rain, reefed and took in sail. At midnight it blew tremendous hard, with a very heavy Sea running, which caused the Vessel to pitch and roll in a very violent degree [Latitutde], to the great detriment of the Passengers who during the whole of this and the preceding day were confined by sea sickness. "
;;00.00 21 09.1805 - 12.00 21 09.1805;;;;;"At 2 A.M. found the sick Man dead"
22 Sepr.1805;Sunday;12.00 21 09.1805 - 23.59 21 09.1805;;48.3;The early part of this day it continued to blow very hard, with heavy swell.; Winds N.N.W.  & N[.] by W.;" At 6 A.M. the wind shifted to the N.N.E. with fine moderate weather"
;;00.00 22 09.1805 - 12.00 22  09.1805;;;fine moderate weather;wind shifted to the N.N.E.;"Set all sails that could draw. Unbent the cables and stowed the anchors. At 8 A.M. discovered 7 Sail to the N.E. but could not make out what they were."
23 Sepr.1805;Monday;12.00 22 09.1805 - 23.59 22 09.1805;;No observation.;These 24 Hours fine moderate weather.; Winds light and variable from N[.] by E[.] to East.;" The Passengers  4 entirely recovered, and full of Health & Spirits. This day our steward fell sick and is confined to his Bed."
;;00.00 23 09.1805 - 12.00 23 09.1805;;;Light winds and variable, in the early part of this day, and hazy weather.;fine Breeze from the S.E. ;"At midnight we were alarmed [Latitude] by the approach of a ship which we conjectured to be a Privateer"
24.Sepr.1805;Tuesday;12.00 23 09.1805 - 23.59 23 09.1805;;47.30 [at midnight?];;;"  At 6 P.M. she was discovered on our Weather Bow steering, to the S.W. and at 10 P.M. she was out of sight. Our Steward much better and able to attend to his duty."
;;00.00 24.09.1805 - 12.00 24.09.1805;;;;;""
25.Sepr.1805;Wednesday;12.00 24.09.1805 - 23.59 24.09.1805;;47.14;Fine moderate weather, with light winds from the S.S.E.;light winds from the S.S.E.;" At 7 P.M. saw a sail bound to the Eastward."
;;00.00 25.09.1805 - 12.00 25.09.1805;;;;;""
26.Sepr.1805;Thursday;12.00 25.09.1805 - 23.59 25.09.1805;;46.56;Cloudy weather and light winds as yesterday.;light winds as yesterday.;""
;;00.00 26.09.1805 - 12.00 26.09.1805;;;;;""
27.Sepr.1805;Friday;12.00 26.09.1805 - 23.59 26.09.1805;;46.39;The commencement of these 24 Hours cloudy weather and inclinable to calm.;Wind light and variable from S.W. to South.;""
;;00.00 27.09.1805 - 12.00 27.09.1805;;;The early part of this day Calm and hazy weather.;Wind Easterly.;""
28.Sepr.1805;Saturday;12.00 27.09.1805 - 23.59 27.09.1805;;No observation.;The latter part Moderate Breezes from the same Quarter, accompanied with showers of Rain.;Moderate Breezes from the same Quarter;" "
;;00.00 28.09.1805 - 12.00 28.09.1805;;;;;""
29 Sepr.1805;Sunday;12.00 28.09.1805 - 23.59 28.09.1805;;46.6 [at 9 P.M.?];Fresh Breezes during these 24 Hours accompanied with squalls.;Winds East and E.S.E.;"At 9 P.M. a second altercation took place between Captn. Coit and Mr: Coultery, at Cards, in which both Parties were blameable."
;;00.00 29.09.1805 - 12.00 29.09.1805;;;;Strong Winds S[.] by W. and South.;"At midnight the wind increased considerably, at at 8 A.M. became a perfect Gale.Handed the main sail, the fore and main top sail, struck the fore and main top gallant yards. At 11 handed the fore sail, and fore top mast stay sail, and hove the ship too, under the miz[z]en stay sail:"
30.Sepr.1805;Monday;12.00 29.09.1805 - 23.59 29.09.1805;;No observation.;Strong Breezes and cloudy weather.;Strong Winds S[.] by W. and South.;" The Gale still continuing, with a very heavy Sea. In the early part of the day saw a Brig to leeward lying to."
;;00.00 30.09.1805 - 12.00 30.09.1805;;;This day the Gale increased in a very violent degree, and the sea ran excessively high in a perfect foam, occasioned by the extreme Violence of the Wind;;""
1st 10.1805;Tuesday;12.00 30.09.1805 - 23.59 30.09.1805;;46. ;;Winds during these 24 Hours variable from S.S.W. to N.W.;" At noon set the clove reeft [sic!] main top sail, the Sea running so high it becalmed the miz[z]en stay sail. At 2 the main top sail sheet gave way, but was with great exertion got in without damage. The Dead lights were got in and the top gallant Masts housed. At 1 P.M. saw a ship lying so, with her head to the Westward. "
;;00.00 2 10.1805 - 12.00 2 10.1805;;;Fresh Breezes and cloudy weather, with squalls of rain and heavy sea;;""
2d 10.1805;Wednesday;12.00 1 10.1805 - 23.59 1 10.1805;;45.28 [at 4 P.M.?];;Wind North [Latitude].;"At 4 P.M. became more moderate, set all sail to advantage,  The latter part of this day saw a Ship to leeward bound to the Eastward."
;;00.00 2 10.1805 - 12.00 2 10.1805;;;The commencement of this day light and variable Winds with cloudy weather;;""
3d 10.1805;Thursday;12.00 2 10.1805 - 23.59 2 10.1805;;45.25;the latter part strong Breezes from the westward with repeated squalls of rain [Latitude].;;"This day a young Boy, son of one of the steerage Passengers, was found to be ill of the small Pox."
;;00.00 3 10.1805 - 12.00 3 10.1805;;;During the whole of these 24 Hours, strong Gales and violent squalls of wind and rain.;Winds W.N.W. & N[.] by W.;""
4.10.1805;Friday;12.00 3 10.1805 - 23.59 3 10.1805;;44.17 [at noon.?];;;" At noon saw a Ship standing to the Eastward [Latitude]. The Boy with the small Pox as well as can be expected."
;;00.00 04.10.1805 - 12.00 04.10.1805;;;This day strong Gales and heavy sea, and towards the latter part it blew excessive hard.;;""
5.10.1805;Saturday;12.00 04.10.1805 - 23.59 04.10.1805;;42.50;This day strong Gales and heavy sea, and towards the latter part it blew excessive hard.;;" Winds from N[.] by W. to W.N.W."
;;00.00 05.10.1805 - 12.00 05.10.1805;;;;;""
6.10.1805;Sunday;12.00 05.10.1805 - 23.59 5h 10.1805;;42.24;The continuance of yesterday’s weather.;Wind from N.W[.] to W[.] by N.;" The Boy with the small Pox considered in a very dangerous state. At 3 P.M. saw a Brig apparently bound to the westward."
;;00.00 06.10.1805 - 12.00 06.10.1805;;;The early part of this day strong Breezes and clear weather:;;""
7.10.1805;Monday;12.00 06.10.1805 - 23.59 06.10.1805;;43.5;towards noon more moderate [weather];Winds from W.N.W. to S.S.W.;" The sick Boy in much the same state as yesterday."
;;00.00 07.10.1805 - 12.00 07.10.1805;;;These 24 Hours fine clear weather,;light winds in the early part of the day from the S.W.;""
8.10.1805;Tuesday;12.00 07.10.1805 - 23.59 07.10.1805;;42.50 [at 11 P.M.?];;towards the latter part fresh Breezes from the N.N.E.;"  At 11 P.M. spoke the ship Phillipsburg from New Orleans [Latitude] bound to Bordeaux in Longitude, by their account, 41°. The Boy with the small Pox somewhat better and great hopes still entertained of his recovery."
;;00.00 08.10.1805 - 12.00 08.10.1805;;;Fresh Breezes and cloudy weather in the early part of this day with the wind N.N.E.;wind N.N.E.;""
9.10.1805;Wednesday;12.00 08.10.1805 - 23.59 08.10.1805;;No observation.;the latter part variable and calm.;;" The Boy rather worse than yesterday"
;;00.00 09.10.1805 - 12.00 09.10.1805;;;;;""
10.10.1805;Thursday;12.00 09.10.1805 - 23.59 09.10.1805;;42.43 [at 4 P.M.?];This day light winds and fine weather.;Wind from South to S.W.;" At 4 P.M. saw an Hermaphrodite Brig to windward bound to the Eastward [Latitude].  "
;;00.00 10.10.1805 - 12.00 10.10.1805;;;The first 12 Hours fresh Breezes from the S.W. and cloudy weather,;fresh Breezes from the S.W.;"At 10 A.M. the young Boy, to our great regret, breathed his last. At 11 A. M. discovered a ship to Leeward standing to the Eastward."
11.10.1805;Friday;12.00 10.10.1805 - 23.59 10.10.1805;;No observation.;the latter moderate Winds from N.E. and East accompanied with rain.;moderate Winds from N.E. and East;" At 5 P.M. the Body of the young Boy was committed to the deep"
;;00.00 11.10.1805 - 12.00 11.10.1805;;;;;""
12.10.1805;Saturday;12.00 11.10.1805 - 23.59 11.10.1805;;42.48 [at midnight?];The beginning of this day fresh Breezes and cloudy weather with heavy rains.;Wind from East to E.S.E.;" At 11 P.M. a Brig passed in, standing to the Eastward."
;;00.00 12.10.1805 - 12.00 12.10.1805;;;At midnight the wind shifted to the S.S.W. & S.W. and blew remarkably hard, with very high sea.;wind shifted to the S.S.W. & S.W. ---  Wind from the S.W. in the first part of the day;""
13.10.1805;Sunday;12.00 12.10.1805 - 23.59 12.10.1805;;42.8;The whole of these 24 Hours, strong Breezes attended with showers of rain and frequent squalls.;N.W. in the latter part with heavy sea running from the westward.;""
;;00.00 13.10.1805 - 12.00 13.10.1805;;;The early part of these 24 Hours, strong Breezes and heavy sea;Wind N.N.W.;""
14.10.1805;Monday;12.00 13.10.1805 - 23.59 13.10.1805;;42.9;Towards sun set it grew more moderate and at midnight the Wind shifted to the S.W. with a strong swell from the Eastward.;Wind shifted to the S.W.;""
;;00.00 14.10.1805 - 12.00 14.10.1805;;;;;""
15.10.1805;Tuesday;12.00 14.10.1805 - 23.59 14.10.1805;;42.33;Strong Breezes and cloudy weather with frequent squalls.;Wind from W. by S. to W[.] by N.;" Sounded for the Bank of Newfoundland, but found no bottom."
;;00.00 15.10.1805 - 12.00 15.10.1805;;;These 24 Hours began with fresh breezes and cloudy weather.;;""
16.10.1805;Wednesday;12.00 15.10.1805 - 23.59 15.10.1805;;42.44;At midnight it became squally with strong Breezes and hazy weather.;Winds from W.N.W. to N.W.;" Hove to for sounding, but found no bottom. "
;;00.00 16.10.1805 - 12.00 16.10.1805;;;The early part of this day fresh Breezes and cloudy weather;the wind from N.W. to N.W. by N.;""
17.10.1805;Thursday;12.00 16.10.1805 - 23.59 16.10.1805;;41.54;The latter part light Winds, and clear weather, from North and N.E.;from North and N.E.;" Sounded again, but with as little success as the preceding Days."
;;00.00 17h 10.1805 - 12.00 17.10.1805;;;;;""
18.10.1805;Friday;12.00 17.10.1805 - 23.59 17.10.1805;;42.2;This day light and variable, inclining to Calms, from N.N.E. to S.S.W.;from N.N.E. to S.S.W.;""
;;00.00 18.10.1805 - 12.00 18.10.1805;;;These 24 Hours began with fresh Breezes and thick foggy weather,;;""
19.10.1805;Saturday;12.00 18.10.1805 - 23.59 18.10.1805;;41.39;the latter part strong Gales and cloudy with repeated squalls.;Winds from N.N.W. to W.N.W.;""
;;00.00 19.10.1805 - 12.00 19.10.1805;;;;;""
20.10.1805;Sunday;12.00 19.10.1805 - 23.59 20.10.1805;;40.51;Strong gales and cloudy weather with severe squalls of rain, and heavy Sea;Winds from N.W[.] to N.W.;""
;;00.00 20.10.1805 - 12.00 20.10.1805;;;The commencement of this day we experienced a continuance of the Gales of yesterday.;;""
21st 10.1805;Monday;12.00 20.10.1805 - 23.59 20.10.1805;;No observation.;;winds came from the East;" At noon the winds came from the East, and we set all sail to advantage."
;;00.00 21 10.1805 - 12.00 21 10.1805;;;This day began with thick and cloudy weather;the wind from the S.E.;""
22d 10.1805;Tuesday;12.00 21 10.1805 - 23.59 21 10.1805;;40.29;At 11 P.M. the wind having shifted to the S.W. it blew a strong Gale;S.W.;" At 11 P.M. the wind having shifted to the S.W. it blew a strong Gale and obliged us to lay to.    ThisThis evening Mr: and Mrs: Smith /Chambers/ and daughter with Mr: Oxford /steerage Passengers/ were invited to spend the evening with us in mirth and jollity, which we were accomplishing, but dissolved our society when the Gale became violent."
;;00.00 22 10.1805 - 12.00 22 10.1805;;;At 6 A.M. the wind veered to the E.N.E. with strong Breezes and cloudy.;the wind veered to the E.N.E;""
23d 10.1805;Wednesday;12.00 22 10.1805 - 23.59 22 10.1805;;41.25;The early part of this day fresh Breezes and thick weather with rain;Wind from E.S.E.;""
;;00.00 23 10.1805 - 12.00 23 10.1805;;;At Midnight we experienced a remarkable heavy rain and . and continued to blow fresh Gales during the remainder of the day.;shift of wind from S.W. to W.S.W;""
24.10.1805;Thursday;12.00 23 10.1805 - 23.59 23 10.1805;;No observation.;These 24 Hours began with fresh Breezes from the West to N.W.;fresh Breezes from the West to N.W.;" At midnight nearly calm, and at 8 A.M. a light breeze sprang up from the Eastward. Discovered a Brig standing to the Eastd., and would willingly have spoken her, to ascertain our Longitude had not her situation to windward precluded it."
;;00.00 24.10.1805 - 12.00 24.10.1805;;;Fine moderate Breezes and hazy weather with the winds from E.N.E.;light breeze sprang up from the Eastward. --  winds from E.N.E. to South  till 10 A.M. when it shifted in a squall to N.W. by W;""
25.10.1805;Friday;12.00 24.10.1805 - 23.59 24.10.1805;;41.35;;;"Saw a Brig standing to the westward. Also a Gannet from which we concluded we were near St. George’s Bank. "
;;00.00 25.10.1805 - 12.00 25.10.1805;;;The commencement of these 24 Hours it blew very fresh from N.W. by W. with very heavy sea.;very fresh from N.W. by W.;""
26.10.1805;Saturday;12.00 25.10.1805 - 23.59 25.10.1805;;41.18;Towards midnight it became nearly calm;;" Captn. Coit struck a Dolphin with the grange, and we were gratified with a dish of fresh Fish, which we found very palatable."
;;00.00 26.10.1805 - 12.00 26.10.1805;;;at 10 A.M. a gentle Breeze sprung up from the Eastward. -- The first part of these 24 Hours fresh Breezes and cloudy weather with the Wind at S.E.;Wind at S.E.;""
27.10.1805;Sunday;12.00 26.10.1805 - 23.59 26.10.1805;;No observation.;At 10 P.M. it blew a Gale, and at midnight we experienced a most violent squall of wind and rain: the sea running very high, and it blowing very hard we lay to, the remainder of this day.;;" "
;;00.00 27.10.1805 - 12.00 27.10.1805;;;The early part of this day strong breezes with frequent squalls of Rain.;Wind W.N.W.;""
28.10.1805;Monday;12.00 27.10.1805 - 23.59 27.10.1805;;No observation.;;At 6 A.M. the wind shifted to N.W. and blew a gentle Breeze.;" At Noon spoke the Brig Minerva of Bath, from Baltimore bound to Amsterdam in Longitutde 59°.30’."
;;00.00 28.10.1805 - 12.00 28.10.1805;;;;;""
29.10.1805;Tuesday;12.00 28.10.1805 - 23.59 28.10.1805;;40.35;Fresh Breezes and fine pleasant weather throughout this day.;Wind N.W.;"At 7 P.M. spoke the ship Jenny of Greenock"
;;00.00 29.10.1805 - 12.00 29.10.1805;;;These 24 Hours fresh breezes and cloudy weather.;Winds from W[.] by N. to N.N.W.;""
30.10.1805;Wednesday;12.00 29.10.1805 - 23.59 29.10.1805;;40.57;;;"The ship Jenny still in sight a stern but not visible from the Deck. Saw a Gannet."
;;00.00 30.10.1805 - 12.00 30.10.1805;;;The commencement of this day fresh Breezes and cloudy weather, and remarkably cold.;Winds North and N.N.E.;""
31.10.1805;Thursday;12.00 30.10.1805 - 23.59 30.10.1805;;40.36;;;"At noon the ship Jenny was still in sight nearly in the same Position: also an Hermaphrodite Brig to Windward. Saw four Ducks."
;;00.00 31.10.1805 - 12.00 31.10.1805;;;The beginning of this day light and variable Winds with pleasant weather;;""
1st 11.1805;Friday;12.00 31.10.1805 - 23.59 31.10.1805;;41.14;The latter part light winds from the N.W. with Fog.;winds from the N.W;"Saw some Ducks."
;;00.00 1 11.1805 - 12.00 1 11.1805;;;The early part of this day light Winds from the N.W. and cloudy;light Winds from the N.W.;""
2d 11.1805;Saturday;12.00 1 11.1805 - 23.59 1 11.1805;;41.35;the latter part fine pleasant weather;wind S.S.W.;"At 4 P.M. got soundings on St. George’s Bank in 50 Fathoms, sandy bottom. This event enlivened our drooping spirits, and diffused universal Happiness throughout the ship"
;;00.00 2 11.1805 - 12.00 2 11.1805;;;This day began with fresh Breezes and thick cloudy weather.;Wind West.;""
3d 11.1805;Sunday;12.00 2 11.1805 - 23.59 2 11.1805;;40.56;moderate and clear weather.;Towards noon the wind shifted to the N.W.;"At 4 P.M. sounded in 30 Fathoms"
;;00.00 3 11.1805 - 12.00 3 11.1805;;;These 24 Hours began with light winds and clear weather;;""
4.11. 1805;Monday;12.00 3 11.1805 - 23.59 3 11.1805;;40.17;the latter part fresh Breezes with fine pleasant weather.;Winds variable.;" From the time of our getting sounding we regularly have seen Gannets, Gulls, and several other Birds."
;;00.00 04.11.1805 - 12.00 04.11.1805;;;;;""
5.11.1805;Tuesday;12.00 04.11.1805 - 23.59 04.11.1805;;41.0.;This day fresh Breezes and clear weather, with variable Winds;from S.S.W. to N.W[.] by W.;"Saw a large flight of Ducks."
;;00.00 05.11.1805 - 12.00 05.11.1805;;;These 24 Hours began with fresh Gales and clear weather, with rough sea:;the Wind N.W.;""
6.11.1805;Wednesday;12.00 05.11.1805 - 23.59 05.11.1805;;39.15;The latter part more moderate;shift of wind to W[.] by N.;""
;;00.00 06.11.1805 - 12.00 06.11.1805;;;The commencement of these 24 Hours fresh Breezes from the westward and clear weather.;fresh Breezes from the westward;"At At 10 A.M. spoke the Brigantine Mary of Providence, Rhode Island, bound to Savannah. Block Island bore by his account. North 30 Leagues distant."
7.11.1805;Thursday;12.00 06.11.1805 - 23.59 06.11.1805;;;;At 6 A.M. the wind shifted to N.N.E. and blew a fresh breeze;"we were in momentary expectation of descrying land."
;;00.00 07.11.1805 - 12.00 07.11.1805;;;This day cloudy weather and fresh Breezes; from the N.E.;"At 10 A.M. saw the land which proved to be the high lands of Jamaica, in Long Island.  At 11 A.M. passed sandy Hook Light House"
8.11.1805;Friday;12.00 07.11.1805 - 23.59 07.11.1805;;;;Wind N.N.E.;"At 4 P.M. weighed anchor and beat up the Narrows with the "
;;00.00 08.11.1805 - 12.00 08.11.1805;;;;;""
9.11.1805;Saturday;12.00 08.11.1805 - 23.59 08.11.1805;;;This day fine clear weather;fresh Breezes from N.N.E.;"At 1 P.M. cast anchor off Governor[’]s Island, "
;;00.00 09.11.1805 - 12.00 09.11.1805;;;;;"At 8 A.M. weighed and got the Vessel near the Wharf. At noon landed from on board the Polly, and thus ended the most Boisterous and disagreeable Passage I ever experienced. "
10.11.to 28.11.1805;Sunday to Thursday;12.00 09.11.1805 - 23.59 09.11.1805;;;;;"Resided at New York, principally at the House of Mrs: Avery, who kept a Boarding House at No8 State Street opposite the North Battery."
;;00.00 28.11.1805 - 12.00 28.11.1805;;;;;"At 7½ O[’]clock in the Morning left New York with General Miranda on our way to Washington: crossed the North or Hudson River to Paulus Hook, and from thence took the stage."
29.11.1805;Friday;12.00 28.11.1806 - 23.59 28.11.1805;;;;;"          I passed through the Town of Newark, the Capital of Essex County in New Jersey, it is 9 Miles from New York celebrated for the excellence of it’s [sic!] Cider, and is the seat, of the largest shoe Manufacture in the state, making about 200 Pairs daily. An Academy was established here in June 1792, which promises to be a useful institution. In Newark and in Orange which joins it on the N.W., there are 9 Tanneries, and valuable quarries of stone for Building. 6 Miles South of Newark stands Elizabeth Town, in the same County, it is one of the oldest Towns in the state, having been purchased of the Indians in 1664 and settled soon after. It is pleasantly situated on a small Creek which empties into Arthur Hull. In the compact part of the Town, there are about 150 Houses, two brick Churches, one for Presbyterians, very handsome, the other for Episcopalians, and an Academy. 10 Miles S.W. of Elisabeth Town is Woodbridge N. Jersey, on a stream which falls into Arthur Hull above Amboy. This Township contained in 1790, 3550 Inhabitants [откуда сведения]. The stage arrived here about 2 O[’]clock [расписание дилижансов], and stopped to let the Passengers dine. 10 Miles S.W. of the above Town is Brunswick, in Middlesex County, N. Jersey, on the S.W. Bank of Raritan River. It has about 300 Houses and 3000 Inhabitants, one half of whom are Dutch. One of the most elegant and expensive bridges in America, has been built over the river opposite to this City. Queen’s College was in this City, but is now extinct as a place of instruction. 18 Miles S.W. of Brunswick is Princeton situated partly in Middlesex, and partly in Somerset Counties, N. Jersey. Here are about 80 dwelling Houses, and a brick Presbyterian Church.         Nassau Hall College[,] an institution which has produced a great number of eminent scholars, is very pleasantly situated in the compact Part of this Town. This Edifice is a handsome stone Building, of 180 feet by 54, four stories high, and stands on an elevated and healthful spot and commands an extensive and delightful prospect.         The stage arrived in this Town about 7½ O[’]clock in the Evening"
;;00.00 29.11.1805 - 12.00 29.11.1805;;;;;""
30.11.1805;Saturday;12.00 29.11.1805 - 23.59 29.11.1805;;;;;"At 6 A.M. left Princeton and arrived at Trenton at 8½, where we breakfasted. the distance is 12 Miles S.W. of Princeton.         This Town is the largest in N. Jersey, and the Metropolis of the state, on the East side of Delaware River, opposite the falls, and nearly in the centre of the state from N[.] to S. The river is not navigable above these falls, except for Boats which will carry from 500 to 700 Bushels of Wheat. This Town with Lamberton, which joins it on the South[,] contains about 300 Houses, and 2000 Inhabitants. Here the Legislature meets.         The stage was ferried over the Delaware"
;;00.00 30.11.1805 - 12.00 30.11.1805;;;;;""
1st Decr: to 3d Decr: 1805;Sunday to Tuesday;12.00 30.11.1805 - 12.00 3 12.1805;;;;;"Resident in Philadelphia, during which Period I was busily employed viewing the Town, and Public Places of Amusement, particularly the Theatre and Museum. Also visiting, several of my old Saint Domingo Friends, who since the Evacuation of that Island have established themselves in this tranquil and agreeable City."
